ArcName,Volcano Name,GVP Volcano Number,latitude,longitude,,Mean SO2 flux [kt/y] ,SD ,Final SO2 flux (2005-2015) from combined space- and  and ground-based measurements ,SO2 flux uncertainty ,method,References,DOI,ktons,Erupted CO2 flux (ktons) using measured C/S,Erupted CO2 flux using predicted C/S,"C/S (molar) Aiuppa et al., 2017, 2018 and from plume MG",SD,"predicted C/S (molar) Aiuppa et al., 2019 ",SD ,"Predicted C/S based on group following Aiuppa et al., 2019 method",SD ,CO2 flux (kt/yr) based on measured C/S,"Predicted CO2 flux (kt/yr) using published predicted C/S (Aiuppa et al., 2019)",Predicted CO2 flux (kt/yr) using extrapolated predicted C/S,CO2 summary (kt/y),SD CO2 summary (kt/y)summary (kt/y),,,
,,,,,ktons/y,kt/y,,ktons/y,ktons/y,Space Based or Ground based,,,,,,,,,,,,,,,,,,,
Kamchatka,Alaid,290390,50.861,155.565,,,,, ,,,,2,,1.7,,,,,1.2,0.8,,,,,,,,
North_Kurile,KAMBALNY,300010,51.306,156.875,,,,, ,,"Carn et al., 2017",10.1038/srep44095,55,,45.4,,,,,1.2,0.8,,,,,,,,
North_Kurile,EBEKO,290380,50.686,156.014,181.04,63,,181.0,204.1,SB,"Carn et al., 2017",10.1038/srep44095,,,,0.9,,,,,,112.0,,,112.0,60.0,,,
North_Kurile,CHIKURACHKI,290360,50.324,155.461,,,,, ,,"Carn et al., 2017",10.1038/srep44095,90,,74.3,,,,,1.2,0.8,,,,,,,,
North_Kurile,CHIRINKOTAN,290260,48.98,153.48,,91,,91.0,27.3,GB,"Taran et al., 2018",,12,,9.9,,,,,1.2,0.8,,,75.1,75.1,54.9,,,
North_Kurile,SINARKA,290290,48.873,154.182,,37,,37.0,11.1,GB,"Taran et al., 2018",,,,,0.4,,,,,,10.2,,,10.2,3.1,,,
North_Kurile,KUNTOMINTAR,,,,,37,,37.0,11.1,GB,"Taran et al., 2018",,,,,1.8,,,,,,45.8,,,45.8,13.7,,,
South_Kurile,SARYCHEV_PEAK,290240,48.092,153.2,,,,94.9,49.3,SB,"Taran et al., 2018",,1200,,990.0,,,1.2,0.5,,,,78.3,,78.3,58.5,,,
South_Kurile,Berg on Urup,,,,,87,,87.0,26.1,GB,"Taran et al., 2018",,,,,2,,,,,,119.6,,,119.6,35.9,,,
South_Kurile,KETOI/Pallas,290200,47.35,152.475,,173,,50.7,26.4,SB,"Carn et al., 2017",10.1038/srep44095,,,,0.2,,1.2,0.5,,,7.0,,,7.0,5.0,,,
